time,period
1.001944174e-06,1.001944e-06
1.003611972e-06,1.667798e-09
1.005874793e-06,2.262821e-09
1.009085767e-06,3.210974e-09
1.01424097e-06,5.155202e-09
1.02391993e-06,9.67896e-09
1.047411389e-06,2.349146e-08
1.095800758e-06,4.838937e-08
1.10398884e-06,8.188082e-09
1.108099074e-06,4.110234e-09
1.111173329e-06,3.074254e-09
1.11371768e-06,2.544351e-09
1.115987735e-06,2.270055e-09
1.118131905e-06,2.14417e-09
1.120167532e-06,2.035628e-09
1.122200839e-06,2.033307e-09
1.124149622e-06,1.948783e-09
1.126101052e-06,1.951429e-09
1.128042299e-06,1.941247e-09
1.129983101e-06,1.940803e-09
1.131879337e-06,1.896236e-09
1.133783311e-06,1.903974e-09
1.135682526e-06,1.899215e-09
1.137574661e-06,1.892135e-09
1.139483016e-06,1.908355e-09
1.141414586e-06,1.93157e-09
1.143374835e-06,1.96025e-09
1.145382717e-06,2.007881e-09
1.14739225e-06,2.009533e-09
1.149432253e-06,2.040003e-09
1.151464686e-06,2.032433e-09
1.153496343e-06,2.031657e-09
1.155546385e-06,2.050043e-09
1.157577576e-06,2.031191e-09
1.159574479e-06,1.996902e-09
1.161552508e-06,1.978029e-09
1.163543706e-06,1.991198e-09
1.165519069e-06,1.975363e-09
1.167533246e-06,2.014177e-09
1.169532614e-06,1.999368e-09
1.171525948e-06,1.993334e-09
1.173541779e-06,2.015831e-09
1.175554218e-06,2.01244e-09
1.177570901e-06,2.016683e-09
1.179596722e-06,2.025821e-09
1.18161141e-06,2.014688e-09
1.183628587e-06,2.017177e-09
1.185647171e-06,2.018584e-09
1.187636139e-06,1.988967e-09
1.189665404e-06,2.029265e-09
1.191666938e-06,2.001534e-09
1.193682743e-06,2.015805e-09
1.1956702e-06,1.987457e-09
1.197700138e-06,2.029937e-09
1.199710294e-06,2.010156e-09
1.201720284e-06,2.00999e-09
1.203737234e-06,2.01695e-09
1.205744846e-06,2.007612e-09
1.20775289e-06,2.008044e-09
1.209768994e-06,2.016104e-09
1.211772303e-06,2.003308e-09
1.213800659e-06,2.028356e-09
1.215795819e-06,1.995161e-09
1.217820612e-06,2.024793e-09
1.219822905e-06,2.002293e-09
1.221842201e-06,2.019296e-09
1.223835911e-06,1.993711e-09
1.225833802e-06,1.99789e-09
1.227808695e-06,1.974893e-09
1.229784658e-06,1.975964e-09
1.231798853e-06,2.014194e-09
1.233758264e-06,1.959412e-09
1.235757111e-06,1.998846e-09
1.237785078e-06,2.027967e-09
1.239781449e-06,1.996371e-09
1.24180796e-06,2.026511e-09
1.243794352e-06,1.986392e-09
1.245825074e-06,2.030722e-09
1.247840266e-06,2.015192e-09
1.249855326e-06,2.01506e-09
1.251842667e-06,1.987341e-09
1.253859385e-06,2.016718e-09
1.255884519e-06,2.025135e-09
1.257899182e-06,2.014663e-09
1.259942896e-06,2.043714e-09
1.261965475e-06,2.022579e-09
1.264012381e-06,2.046906e-09
1.266032739e-06,2.020359e-09
1.268056138e-06,2.023399e-09
1.270092512e-06,2.036374e-09
1.272107769e-06,2.015257e-09
1.27413025e-06,2.022481e-09
1.276128433e-06,1.998183e-09
1.278132863e-06,2.00443e-09
1.280133851e-06,2.000988e-09
1.282173141e-06,2.03929e-09
1.284180903e-06,2.007761e-09
1.286192508e-06,2.011605e-09
1.288200167e-06,2.007659e-09
1.290209992e-06,2.009825e-09
1.292176978e-06,1.966986e-09
1.294150578e-06,1.9736e-09
1.296164248e-06,2.01367e-09
1.298156733e-06,1.992485e-09
1.300139262e-06,1.982529e-09
1.302154959e-06,2.015697e-09
1.304152809e-06,1.99785e-09
1.306163896e-06,2.011088e-09
1.308172738e-06,2.008842e-09
1.310201234e-06,2.028496e-09
1.312209204e-06,2.00797e-09
1.314233888e-06,2.024684e-09
1.31622585e-06,1.991962e-09
1.318261544e-06,2.035693e-09
1.320258995e-06,1.997452e-09
1.322281363e-06,2.022367e-09
1.324273116e-06,1.991754e-09
1.326293977e-06,2.02086e-09
1.32829425e-06,2.000273e-09
1.330333449e-06,2.039199e-09
1.332333842e-06,2.000392e-09
1.334355695e-06,2.021853e-09
1.33635207e-06,1.996375e-09
1.33836323e-06,2.01116e-09
1.340364874e-06,2.001645e-09
1.342398953e-06,2.034079e-09
