gds,gm,id,vdsat,vth,v(g)
2.532486e-05,0.00081476,0.0002027389,0.1511582,0.4431725,0.81
2.585667e-05,0.0008237955,0.000211148,0.1536446,0.4426691,0.82
2.63805e-05,0.0008324878,0.0002196376,0.1560868,0.442185,0.83
2.689666e-05,0.0008408569,0.0002282049,0.1584865,0.4417191,0.84
2.740542e-05,0.0008489211,0.0002368471,0.1608455,0.4412703,0.85
2.790706e-05,0.000856697,0.0002455616,0.1631656,0.4408378,0.86
2.840184e-05,0.0008641997,0.0002543458,0.1654483,0.4404205,0.87
2.889002e-05,0.0008714429,0.0002631975,0.1676952,0.4400178,0.88
2.937183e-05,0.0008784392,0.0002721144,0.1699079,0.439629,0.89
2.984751e-05,0.0008852001,0.0002810943,0.1720877,0.4392533,0.9
3.031728e-05,0.0008917361,0.0002901352,0.1742361,0.4388901,0.91
3.078136e-05,0.0008980571,0.0002992352,0.1763543,0.4385389,0.92
3.123996e-05,0.000904172,0.0003083924,0.1784438,0.4381992,0.93
3.169327e-05,0.000910089,0.0003176049,0.1805055,0.4378704,0.94
3.214149e-05,0.000915816,0.000326871,0.1825409,0.4375521,0.95
3.258478e-05,0.0009213601,0.0003361891,0.1845508,0.4372438,0.96
3.302334e-05,0.0009267281,0.0003455575,0.1865365,0.4369452,0.97
3.345732e-05,0.0009319263,0.0003549747,0.1884989,0.4366559,0.98
3.388688e-05,0.0009369606,0.0003644392,0.1904391,0.4363755,0.99
3.431219e-05,0.0009418368,0.0003739495,0.1923579,0.4361038,1
3.473338e-05,0.00094656,0.0003835042,0.1942563,0.4358404,1.01
3.515059e-05,0.0009511355,0.0003931021,0.1961352,0.4355849,1.02
3.556398e-05,0.0009555679,0.0004027416,0.1979954,0.4353372,1.03
3.597366e-05,0.0009598619,0.0004124215,0.1998376,0.4350969,1.04
3.637976e-05,0.0009640218,0.0004221406,0.2016627,0.434864,1.05
3.67824e-05,0.0009680519,0.0004318978,0.2034715,0.4346381,1.06
3.71817e-05,0.0009719563,0.0004416917,0.2052645,0.434419,1.07
3.757777e-05,0.0009757387,0.0004515213,0.2070426,0.4342065,1.08
3.797072e-05,0.0009794029,0.0004613854,0.2088063,0.4340004,1.09
3.836066e-05,0.0009829525,0.0004712831,0.2105564,0.4338006,1.1
3.874767e-05,0.0009863911,0.0004812132,0.2122934,0.4336068,1.11
