gds,gm,id,vdsat,vth,v(g)
3.688346e-05,0.001109015,0.0008283029,0.4143764,0.4919907,1.69
3.722598e-05,0.001112562,0.0008393487,0.4165756,0.4920812,1.7
3.756897e-05,0.001116047,0.0008504271,0.418767,0.4921743,1.71
3.791245e-05,0.001119471,0.0008615372,0.4209508,0.4922698,1.72
3.825642e-05,0.001122834,0.0008726785,0.4231274,0.4923678,1.73
3.860088e-05,0.001126138,0.0008838503,0.4252968,0.4924682,1.74
3.894583e-05,0.001129383,0.0008950521,0.4274593,0.492571,1.75
3.929128e-05,0.00113257,0.000906283,0.4296152,0.4926762,1.76
3.963723e-05,0.001135701,0.0009175425,0.4317645,0.4927838,1.77
3.998369e-05,0.001138774,0.0009288301,0.4339074,0.4928937,1.78
4.033066e-05,0.001141793,0.0009401449,0.4360443,0.493006,1.79
4.067814e-05,0.001144757,0.0009514866,0.4381752,0.4931206,1.8
