gds,gm,id,vdsat,vth,v(g)
8.149799e-13,5.292763e-11,1.933552e-12,0.03749254,0.6184451,0
1.123474e-12,7.319575e-11,2.677116e-12,0.03743111,0.616966,0.01
1.546003e-12,1.010369e-10,3.699704e-12,0.03737097,0.6155222,0.02
2.126013e-12,1.393637e-10,5.109189e-12,0.03731077,0.6140807,0.03
2.921577e-12,1.920795e-10,7.050327e-12,0.03725052,0.6126421,0.04
4.011927e-12,2.645213e-10,9.721358e-12,0.03719025,0.611207,0.05
5.505035e-12,3.639774e-10,1.339344e-11,0.03712998,0.6097759,0.06
7.547882e-12,5.003875e-10,1.843704e-11,0.03706974,0.6083494,0.07
1.03403e-11,6.872897e-10,2.535764e-11,0.03700957,0.6069283,0.08
1.415364e-11,9.430961e-10,3.484408e-11,0.03694949,0.6055131,0.09
1.935589e-11,1.292809e-09,4.783373e-11,0.03688954,0.6041048,0.1
2.644533e-11,1.770326e-09,6.560024e-11,0.03682977,0.6027042,0.11
3.60957e-11,2.42152e-09,8.987155e-11,0.03677023,0.601312,0.12
4.921649e-11,3.308357e-09,1.229879e-10,0.03671096,0.5999294,0.13
6.703332e-11,4.514371e-09,1.681133e-10,0.03665204,0.5985573,0.14
9.11948e-11,6.151926e-09,2.295172e-10,0.03659353,0.5971968,0.15
1.239141e-10,8.37181e-09,3.129495e-10,0.03653552,0.5958491,0.16
1.681561e-10,1.137586e-08,4.261363e-10,0.03647809,0.5945152,0.17
2.278837e-10,1.54335e-08,5.794361e-10,0.03642136,0.5931964,0.18
3.083809e-10,2.090331e-08,7.867018e-10,0.03636545,0.591894,0.19
4.166746e-10,2.826095e-08,1.06641e-09,0.03631053,0.5906094,0.2
5.620837e-10,3.81352e-08,1.443135e-09,0.03625677,0.5893437,0.21
7.569287e-10,5.135402e-08,1.94946e-09,0.03620441,0.5880985,0.22
1.017445e-09,6.900311e-08,2.628442e-09,0.03615374,0.5868749,0.23
1.364952e-09,9.249959e-08,3.536782e-09,0.03610511,0.5856745,0.24
1.827334e-09,1.236839e-07,4.748856e-09,0.03605895,0.5844985,0.25
2.440916e-09,1.649335e-07,6.361828e-09,0.03601584,0.5833482,0.26
3.252802e-09,2.193009e-07,8.502063e-09,0.03597646,0.5822249,0.27
4.323768e-09,2.906801e-07,1.133311e-08,0.03594172,0.5811297,0.28
5.731821e-09,3.840039e-07,1.506557e-08,0.03591272,0.5800637,0.29
7.576501e-09,5.054727e-07,1.996911e-08,0.03589089,0.579028,0.3
9.984025e-09,6.628162e-07,2.638698e-08,0.03587799,0.5780232,0.31
1.311333e-08,8.655838e-07,3.475335e-08,0.03587625,0.5770501,0.32
1.716306e-08,1.125461e-06,4.561361e-08,0.03588843,0.5761092,0.33
2.237954e-08,1.456601e-06,5.964809e-08,0.03591795,0.5752008,0.34
2.906548e-08,1.875964e-06,7.769908e-08,0.03596897,0.5743249,0.35
3.758939e-08,2.403643e-06,1.00801e-07,0.03604659,0.5734812,0.36
4.839525e-08,3.063166e-06,1.302142e-07,0.03615692,0.5726694,0.37
6.201213e-08,3.881761e-06,1.674613e-07,0.03630723,0.5718885,0.38
7.906301e-08,4.890567e-06,2.143666e-07,0.03650607,0.5711375,0.39
1.002722e-07,6.12479e-06,2.730975e-07,0.03676336,0.5704148,0.4
1.264702e-07,7.623798e-06,3.462078e-07,0.03709046,0.5697185,0.41
1.585962e-07,9.431169e-06,4.366835e-07,0.03750017,0.5690463,0.42
1.976953e-07,1.159469e-05,5.479893e-07,0.0380067,0.5683954,0.43
2.449121e-07,1.416634e-05,6.841179e-07,0.03862555,0.5677624,0.44
3.014786e-07,1.720218e-05,8.496406e-07,0.0393733,0.5671437,0.45
3.686968e-07,2.076222e-05,1.049761e-06,0.04026737,0.5665348,0.46
4.479155e-07,2.491014e-05,1.290367e-06,0.04132565,0.5659311,0.47
5.405032e-07,2.971271e-05,1.57809e-06,0.04256609,0.5653272,0.48
6.478161e-07,3.523898e-05,1.920354e-06,0.04400625,0.5647173,0.49
7.711637e-07,4.155889e-05,2.325421e-06,0.04566275,0.5640949,0.5
9.117728e-07,4.874139e-05,2.802428e-06,0.04755078,0.5634535,0.51
1.070751e-06,5.685185e-05,3.361397e-06,0.04968357,0.5627858,0.52
1.249051e-06,6.594889e-05,4.013226e-06,0.05207187,0.5620845,0.53
1.44744e-06,7.608075e-05,4.769634e-06,0.05472352,0.561342,0.54
1.666467e-06,8.728126e-05,5.643066e-06,0.05764306,0.5605506,0.55
1.906441e-06,9.956593e-05,6.646542e-06,0.06083143,0.559703,0.56
2.167413e-06,0.0001129285,7.793449e-06,0.06428574,0.5587924,0.57
2.449162e-06,0.0001273382,9.097272e-06,0.06799921,0.5578123,0.58
2.751189e-06,0.0001427383,1.057127e-05,0.07196116,0.5567576,0.59
3.072725e-06,0.0001590464,1.222808e-05,0.07615715,0.5556246,0.6
3.412735e-06,0.0001761557,1.407936e-05,0.08056928,0.554411,0.61
3.769943e-06,0.000193939,1.613529e-05,0.08517653,0.553117,0.62
4.142852e-06,0.0002122527,1.840419e-05,0.08995527,0.551745,0.63
4.529781e-06,0.0002309436,2.089214e-05,0.09487984,0.5503004,0.64
4.92892e-06,0.0002498551,2.360272e-05,0.09992336,0.5487911,0.65
5.338316e-06,0.0002688312,2.653639e-05,0.1050578,0.5472292,0.66
5.756016e-06,0.0002877273,2.969105e-05,0.1102558,0.5456285,0.67
6.180057e-06,0.0003064113,3.306166e-05,0.1154905,0.5440058,0.68
6.60854e-06,0.0003247692,3.664053e-05,0.1207369,0.5423794,0.69
7.039682e-06,0.0003427071,4.041783e-05,0.1259721,0.5407692,0.7
7.471869e-06,0.0003601526,4.438207e-05,0.1311759,0.5391944,0.71
7.903692e-06,0.0003770544,4.852082e-05,0.1363315,0.5376734,0.72
8.333979e-06,0.0003933814,5.282142e-05,0.1414252,0.5362219,0.73
8.761803e-06,0.0004091197,5.727163e-05,0.1464471,0.5348524,0.74
9.18648e-06,0.0004242704,6.186024e-05,0.1513902,0.5335735,0.75
9.607551e-06,0.0004388461,6.657739e-05,0.1562505,0.5323896,0.76
1.002475e-05,0.0004528676,7.14148e-05,0.1610262,0.5313015,0.77
1.043796e-05,0.0004663613,7.636575e-05,0.1657174,0.5303067,0.78
1.084718e-05,0.0004793564,8.142494e-05,0.1703256,0.5294001,0.79
1.125235e-05,0.0004918781,8.658566e-05,0.1748514,0.528582,0.8
1.165377e-05,0.0005039624,9.184764e-05,0.1792996,0.5278368,0.81
1.205166e-05,0.0005156388,9.720909e-05,0.1836734,0.5271548,0.82
1.24461e-05,0.0005269317,0.0001026669,0.1879752,0.5265311,0.83
1.283725e-05,0.000537865,0.0001082191,0.1922079,0.5259589,0.84
1.322527e-05,0.0005484608,0.0001138641,0.1963741,0.5254319,0.85
1.361029e-05,0.0005587388,0.0001196,0.2004763,0.5249446,0.86
1.399244e-05,0.0005687167,0.0001254254,0.204517,0.5244922,0.87
1.437184e-05,0.0005784104,0.0001313384,0.2084983,0.5240708,0.88
1.474859e-05,0.000587834,0.0001373373,0.2124222,0.523677,0.89
1.512279e-05,0.0005970004,0.0001434203,0.2162907,0.523308,0.9
1.549452e-05,0.000605921,0.0001495856,0.2201055,0.5229615,0.91
1.586386e-05,0.0006146063,0.0001558315,0.2238684,0.5226356,0.92
1.62309e-05,0.0006230655,0.0001621561,0.2275809,0.5223285,0.93
1.65957e-05,0.0006313073,0.0001685576,0.2312448,0.5220389,0.94
1.695834e-05,0.0006393394,0.0001750342,0.2348613,0.5217655,0.95
1.731888e-05,0.0006471689,0.0001815844,0.2384321,0.5215072,0.96
1.767738e-05,0.0006548023,0.0001882062,0.2419585,0.5212631,0.97
1.803392e-05,0.0006622456,0.0001948981,0.2454418,0.5210324,0.98
1.838854e-05,0.0006695044,0.0002016584,0.2488834,0.5208143,0.99
1.874132e-05,0.0006765839,0.0002084855,0.2522846,0.5206081,1
