vgs,id
0.510415,6.01843e-06
0.510415,6.01843e-06
0.510415,6.01841e-06
0.510415,6.01838e-06
0.510415,6.01837e-06
0.510414,6.01831e-06
0.510414,6.01818e-06
0.510412,6.01799e-06
0.510409,6.01757e-06
0.510405,6.01688e-06
0.5104,6.01618e-06
0.510396,6.01553e-06
0.510392,6.01485e-06
0.510387,6.01418e-06
0.510383,6.01348e-06
0.510378,6.0128e-06
0.510374,6.01213e-06
0.510369,6.01145e-06
0.510365,6.01079e-06
0.510361,6.01011e-06
0.510356,6.00942e-06
0.510352,6.00874e-06
0.510347,6.00809e-06
0.510343,6.00742e-06
0.510338,6.00674e-06
0.510334,6.00606e-06
0.51033,6.00539e-06
0.510325,6.00473e-06
0.510321,6.00404e-06
0.510316,6.00336e-06
0.510312,6.00268e-06
0.510307,6.00202e-06
0.510303,6.00136e-06
0.510299,6.00067e-06
0.510294,6e-06
0.51029,5.99932e-06
0.510285,5.99865e-06
0.510281,5.99798e-06
0.510277,5.9973e-06
0.510272,5.99662e-06
0.510268,5.99595e-06
0.510263,5.9953e-06
0.510259,5.99461e-06
0.510254,5.99395e-06
0.51025,5.99327e-06
0.510246,5.99259e-06
0.510241,5.99191e-06
0.510237,5.99124e-06
0.510232,5.99057e-06
0.510228,5.98991e-06
0.510224,5.98923e-06
0.510219,5.98858e-06
0.510215,5.98791e-06
0.51021,5.98724e-06
0.510206,5.98654e-06
0.510202,5.98589e-06
0.510197,5.98521e-06
0.510193,5.98455e-06
0.510188,5.98388e-06
0.510184,5.9832e-06
0.51018,5.98253e-06
0.510175,5.98186e-06
0.510171,5.98119e-06
0.510166,5.98053e-06
0.510162,5.97986e-06
0.510157,5.9792e-06
0.510153,5.97853e-06
0.510149,5.97786e-06
0.510144,5.97721e-06
0.51014,5.97653e-06
0.510135,5.97586e-06
0.510131,5.97521e-06
0.510127,5.97453e-06
0.510122,5.97387e-06
0.510118,5.97318e-06
0.510113,5.97251e-06
0.510109,5.97184e-06
0.510105,5.97119e-06
0.5101,5.97051e-06
0.510096,5.96984e-06
0.510092,5.96918e-06
0.510087,5.96851e-06
0.510083,5.96784e-06
0.510078,5.96719e-06
0.510074,5.96652e-06
0.51007,5.96586e-06
0.510065,5.96517e-06
0.510061,5.96451e-06
0.510056,5.96384e-06
0.510052,5.96321e-06
0.510048,5.96255e-06
0.510043,5.96187e-06
0.510039,5.96119e-06
0.510034,5.96052e-06
0.51003,5.95985e-06
0.510026,5.9592e-06
0.510021,5.95852e-06
0.510017,5.95787e-06
0.510012,5.95723e-06
0.510008,5.95655e-06
0.510004,5.95588e-06
0.509999,5.95522e-06
0.509995,5.95455e-06
0.509991,5.9539e-06
0.509986,5.95324e-06
0.509982,5.95256e-06
0.509977,5.95189e-06
0.509973,5.95123e-06
0.509969,5.95059e-06
0.509964,5.9499e-06
0.50996,5.94926e-06
0.509956,5.94859e-06
0.509951,5.94794e-06
0.509947,5.94726e-06
0.509942,5.9466e-06
0.509938,5.94594e-06
0.509934,5.9453e-06
0.509929,5.94463e-06
0.509925,5.94395e-06
0.509921,5.94331e-06
0.509916,5.94264e-06
0.509912,5.94196e-06
0.509907,5.94132e-06
0.509903,5.94067e-06
0.509899,5.94001e-06
0.509894,5.93936e-06
0.50989,5.93867e-06
0.509886,5.93802e-06
0.509881,5.93735e-06
0.509877,5.9367e-06
0.509872,5.93603e-06
0.509868,5.93537e-06
0.509864,5.93473e-06
0.509859,5.93406e-06
0.509855,5.93339e-06
0.509851,5.93276e-06
0.509846,5.93209e-06
0.509842,5.93144e-06
0.509837,5.93077e-06
0.509833,5.93012e-06
0.509829,5.92947e-06
0.509824,5.92881e-06
0.50982,5.92813e-06
0.509816,5.92748e-06
0.509811,5.92683e-06
0.509807,5.92619e-06
0.509803,5.92551e-06
0.509798,5.92486e-06
0.509794,5.92419e-06
0.509789,5.92357e-06
0.509785,5.92288e-06
0.509781,5.92223e-06
0.509776,5.92158e-06
0.509772,5.92091e-06
0.509768,5.92026e-06
0.509763,5.91961e-06
0.509759,5.91895e-06
0.509755,5.9183e-06
0.50975,5.91765e-06
0.509746,5.91698e-06
0.509742,5.91633e-06
0.509737,5.91569e-06
0.509733,5.91504e-06
0.509729,5.91436e-06
0.509724,5.91372e-06
0.50972,5.91305e-06
0.509715,5.9124e-06
0.509711,5.91175e-06
0.509707,5.9111e-06
0.509702,5.91045e-06
0.509698,5.90979e-06
0.509694,5.90916e-06
0.509689,5.90847e-06
0.509685,5.90784e-06
0.509681,5.90721e-06
0.509676,5.90652e-06
0.509672,5.90588e-06
0.509668,5.90524e-06
0.509663,5.90456e-06
0.509659,5.90392e-06
0.509655,5.90327e-06
0.50965,5.90265e-06
0.509646,5.90196e-06
0.509642,5.90133e-06
0.509637,5.90064e-06
0.509633,5.90002e-06
0.509629,5.89935e-06
0.509624,5.89872e-06
0.50962,5.89805e-06
0.509616,5.89741e-06
0.509611,5.89676e-06
0.509607,5.89612e-06
0.509603,5.89545e-06
0.509598,5.8948e-06
0.509594,5.89416e-06
0.509589,5.8935e-06
0.509585,5.89286e-06
0.509581,5.89222e-06
0.509576,5.89155e-06
0.509572,5.89092e-06
0.509568,5.89026e-06
0.509563,5.88961e-06
0.509559,5.88899e-06
0.509555,5.88834e-06
0.50955,5.88765e-06
0.509546,5.88702e-06
0.509542,5.88636e-06
0.509537,5.88573e-06
0.509533,5.88507e-06
0.509529,5.88444e-06
0.509525,5.88377e-06
0.50952,5.88313e-06
0.509516,5.88248e-06
0.509512,5.88183e-06
0.509507,5.88119e-06
0.509503,5.88055e-06
0.509499,5.8799e-06
0.509494,5.87925e-06
0.50949,5.87861e-06
0.509486,5.87794e-06
0.509481,5.8773e-06
0.509477,5.87667e-06
0.509473,5.87601e-06
0.509468,5.87537e-06
0.509464,5.87472e-06
0.50946,5.8741e-06
0.509455,5.87343e-06
0.509451,5.87279e-06
0.509447,5.87214e-06
0.509442,5.87149e-06
0.509438,5.87085e-06
0.509434,5.87023e-06
0.509429,5.86957e-06
0.509425,5.86892e-06
0.509421,5.86828e-06
0.509416,5.86762e-06
0.509412,5.86698e-06
0.509408,5.86636e-06
0.509403,5.86569e-06
0.509399,5.86507e-06
0.509395,5.8644e-06
0.509391,5.86379e-06
0.509386,5.86312e-06
0.509382,5.86249e-06
0.509378,5.86183e-06
0.509373,5.86121e-06
0.509369,5.86057e-06
0.509365,5.85992e-06
0.50936,5.85928e-06
0.509356,5.85864e-06
0.509352,5.85797e-06
0.509347,5.85735e-06
0.509343,5.8567e-06
0.509339,5.85608e-06
0.509335,5.85542e-06
0.50933,5.85477e-06
0.509326,5.85413e-06
0.509322,5.85351e-06
0.509317,5.85286e-06
0.509313,5.85224e-06
0.509309,5.85155e-06
0.509304,5.85095e-06
0.5093,5.85029e-06
0.509296,5.84966e-06
0.509291,5.849e-06
0.509287,5.84838e-06
0.509283,5.84772e-06
0.509279,5.84709e-06
0.509274,5.84645e-06
0.50927,5.84581e-06
0.509266,5.84516e-06
0.509261,5.84454e-06
0.509257,5.84388e-06
0.509253,5.84325e-06
0.509248,5.84262e-06
0.509244,5.84199e-06
0.50924,5.84134e-06
0.509236,5.84071e-06
0.509231,5.84007e-06
0.509227,5.83942e-06
0.509223,5.83879e-06
0.509218,5.83815e-06
0.509214,5.8375e-06
0.50921,5.83687e-06
0.509206,5.83623e-06
0.509201,5.83562e-06
0.509197,5.83495e-06
0.509193,5.83433e-06
0.509188,5.83369e-06
0.509184,5.83306e-06
0.50918,5.83241e-06
0.509175,5.8318e-06
0.509171,5.83115e-06
0.509167,5.83052e-06
0.509163,5.82988e-06
0.509158,5.82923e-06
0.509154,5.82861e-06
0.50915,5.82797e-06
0.509145,5.82734e-06
0.509141,5.82669e-06
0.509137,5.82606e-06
0.509133,5.82545e-06
0.509128,5.82477e-06
0.509124,5.82415e-06
0.50912,5.82351e-06
0.509115,5.82289e-06
0.509111,5.82225e-06
0.509107,5.82163e-06
0.509103,5.82099e-06
0.509098,5.82036e-06
0.509094,5.81973e-06
0.50909,5.81908e-06
0.509089,5.81902e-06
0.509088,5.81886e-06
0.509086,5.81854e-06
0.509082,5.81789e-06
0.509078,5.81728e-06
0.509073,5.81664e-06
0.509069,5.81599e-06
0.509065,5.81537e-06
0.50906,5.81473e-06
0.509056,5.81408e-06
0.509052,5.81347e-06
0.509048,5.81284e-06
