t_s,GR07_c,GR06_c
35.347,,15.007
35.485,15.647,
35.486,,15.011
35.625,,15.108
35.638,15.658,
35.764,,15.118
35.791,15.691,
35.903,,15.011
35.944,15.699,
36.042,,15.106
36.097,15.664,
36.181,,15.213
36.25,15.691,
36.32,,15.243
36.403,15.699,
36.556,15.695,
38.091,15.74,
38.201,,15.342
38.244,15.744,
38.34,,15.205
38.397,15.771,
38.479,,15.191
38.55,15.745,
38.618,,15.434
38.703,15.732,
38.757,,15.363
38.856,15.738,
38.896,,15.276
39.009,15.732,
39.035,,15.287
39.162,15.749,
39.174,,15.312
39.313,,15.489
39.315,15.756,
39.452,,15.389
39.468,15.77,
39.591,,15.256
39.621,15.746,
39.73,,15.228
39.774,15.753,
39.869,,15.216
39.927,15.733,
40.008,,15.343
40.08,15.767,
40.147,,15.346
40.233,15.777,
40.286,,15.281
40.386,15.763,
40.425,,15.349
40.539,15.777,
40.564,,15.372
40.692,15.773,
40.703,,15.457
40.842,,15.419
40.845,15.77,
40.981,,15.491
40.998,15.778,
41.12,,15.324
41.151,15.767,
41.259,,15.417
41.304,15.782,
41.398,,15.515
41.457,15.756,
41.537,,15.453
41.61,15.78,
41.676,,15.455
41.763,15.784,
41.916,15.785,
43.264,15.792,
43.37,,15.395
43.417,15.793,
43.509,,15.377
43.57,15.791,
43.648,,15.381
43.723,15.791,
43.787,,15.5
43.876,15.794,
43.926,,15.518
44.029,15.794,
44.065,,15.412
44.182,15.798,
44.204,,15.467
44.335,15.798,
44.343,,15.535
44.482,,15.588
44.488,15.791,
44.621,,15.4
44.641,15.793,
44.76,,15.469
44.794,15.801,
44.899,,15.515
44.947,15.801,
45.038,,15.657
45.1,15.793,
45.177,,15.707
45.253,15.803,
45.316,,15.652
45.406,15.807,
45.455,,15.634
45.559,15.801,
45.594,,15.631
45.712,15.798,
45.733,,15.57
45.865,15.805,
45.872,,15.565
46.011,,15.574
46.018,15.802,
46.15,,15.622
46.171,15.804,
46.289,,15.904
46.324,15.805,
46.428,,15.774
46.477,15.799,
46.567,,15.715
46.63,15.81,
46.706,,15.691
46.783,15.799,
46.845,,15.669
46.936,15.8,
46.984,,15.643
47.089,15.796,
47.242,15.809,
48.777,15.821,
48.865,,15.836
48.93,15.826,
49.004,,15.834
49.083,15.824,
49.143,,15.845
49.236,15.826,
49.282,,15.949
49.389,15.829,
49.421,,15.906
49.542,15.825,
49.56,,15.832
49.695,15.824,
49.699,,15.892
49.838,,15.901
49.848,15.828,
49.977,,15.939
50.001,15.831,
50.116,,15.873
50.154,15.826,
50.255,,15.98
50.307,15.831,
50.394,,15.991
50.46,15.831,
50.533,,15.822
50.613,15.829,
50.672,,16.016
50.766,15.835,
50.811,,16.007
50.919,15.83,
50.95,,15.959
51.072,15.821,
51.089,,16.109
51.225,15.83,
51.228,,16.046
51.367,,16.006
51.378,15.834,
51.506,,15.99
51.531,15.833,
51.645,,16.152
51.684,15.833,
51.784,,16.01
51.837,15.848,
51.923,,16.055
51.99,15.841,
52.062,,16.046
52.143,15.831,
52.201,,16.029
52.296,15.836,
52.34,,16.112
52.449,15.832,
52.479,,16.107
52.602,15.829,
54.05,15.829,
54.203,15.822,
54.273,,16.144
54.356,15.838,
54.412,,16.162
54.509,15.833,
54.551,,16.024
54.662,15.832,
54.69,,16.012
54.815,15.83,
54.829,,16.222
54.968,15.838,16.218
55.107,,16.155
55.121,15.829,
55.246,,16.164
55.274,15.835,
55.385,,16.162
55.427,15.841,
55.524,,16.328
55.58,15.835,
55.663,,16.43
55.733,15.828,
55.802,,16.276
55.886,15.839,
55.941,,16.368
56.039,15.827,
56.08,,16.318
56.192,15.831,
56.219,,16.259
56.345,15.838,
56.358,,16.282
56.497,,16.301
56.498,15.833,
56.636,,16.269
56.651,15.839,
56.775,,16.386
56.804,15.839,
56.914,,16.503
56.957,15.836,
57.053,,16.555
57.11,15.837,
57.192,,16.537
57.263,15.838,
57.331,,16.493
57.416,15.843,
57.47,,16.555
57.569,15.848,
57.609,,16.427
57.722,15.859,
57.875,15.87,
59.419,15.866,
59.499,,16.404
59.572,15.879,
59.638,,16.414
59.725,15.85,
59.777,,16.456
59.878,15.858,
59.916,,16.282
60.031,15.872,
60.055,,16.334
60.184,15.867,
60.194,,16.288
60.333,,16.493
60.337,15.877,
60.472,,16.649
60.49,15.865,
60.611,,16.53
60.643,15.875,
60.75,,16.605
60.796,15.876,
60.889,,16.621
60.949,15.87,
61.028,,16.666
61.102,15.877,
61.167,,16.746
61.255,15.876,
61.306,,16.58
61.408,15.896,
61.445,,16.446
61.561,15.872,
61.584,,16.642
61.714,15.859,
61.723,,16.602
61.862,,16.459
61.867,15.895,
62.001,,16.517
62.02,15.887,
62.14,,16.541
62.173,15.898,
62.279,,16.617
62.326,15.887,
62.418,,16.607
62.479,15.917,
62.557,,16.52
62.632,15.875,
62.696,,16.669
62.785,15.895,
62.835,,16.713
62.938,15.918,
62.974,,16.665
63.091,15.894,
63.113,,16.684
63.244,15.899,
64.628,15.917,
64.781,15.935,
64.843,,16.616
64.934,15.948,
64.982,,16.606
65.087,15.921,
65.121,,16.592
65.24,15.909,
65.26,,16.648
65.393,15.927,
65.399,,16.581
65.538,,16.638
65.546,15.936,
65.677,,16.732
65.699,15.958,
65.816,,16.569
65.852,15.919,
65.955,,16.508
66.005,15.963,
66.094,,16.583
66.158,15.924,
66.233,,16.566
66.311,15.941,
66.372,,16.604
66.464,15.968,
66.511,,16.762
66.617,15.941,
66.65,,16.816
66.77,15.969,
66.789,,16.714
66.923,15.933,
66.928,,16.667
67.067,,16.651
67.076,15.955,
67.206,,16.748
67.229,15.958,
67.345,,16.74
67.382,15.952,
67.484,,16.581
67.535,15.947,
67.623,,16.611
67.688,15.925,
67.762,,16.861
67.841,15.948,
67.901,,16.737
67.994,15.939,
68.04,,16.707
68.147,15.953,
68.179,,16.82
68.3,15.933,
68.318,,16.677
68.453,15.985,
68.606,15.961,
70.168,16.013,
70.226,,16.91
70.321,16.002,
70.365,,16.973
70.474,16.01,
70.504,,17.009
70.627,16.028,
70.643,,16.986
70.78,16.019,
70.782,,16.801
70.921,,16.766
70.933,16.081,
71.06,,16.891
71.086,16.062,
71.199,,16.924
71.239,16.096,
71.338,,16.838
71.392,16.141,
71.477,,16.727
71.545,16.117,
71.616,,16.896
71.698,16.149,
71.755,,16.934
71.851,16.044,
71.894,,16.808
72.004,16.033,
72.033,,16.822
72.157,16.032,
72.172,,16.747
72.31,16.02,
72.311,,16.753
72.45,,16.946
72.463,16.046,
72.589,,16.93
72.616,15.979,
72.728,,16.802
72.769,16.043,
72.867,,16.9
72.922,16.066,
73.006,,17.041
73.075,16.045,
73.145,,17.095
73.228,16.087,
73.284,,16.939
73.381,16.017,
73.423,,16.788
73.534,16.078,
73.562,,16.739
73.687,16.042,
73.701,,16.772
73.84,16.056,16.852
73.993,16.05,
