t_s,GR07_c,GR06_c
157.918,,20.084
157.995,19.884,
158.057,,20.059
158.148,19.873,
158.196,,19.933
158.301,19.881,
158.335,,20
158.454,19.883,
158.474,,20.044
158.607,19.877,
158.613,,20.033
158.752,,20.026
158.76,19.877,
158.891,,19.932
158.913,19.879,
159.03,,19.981
159.066,19.882,
159.169,,20.096
159.219,19.882,
159.308,,20.084
159.372,19.877,
159.447,,20.027
159.525,19.885,
159.586,,20.045
159.678,19.888,
159.725,,20.133
159.831,19.883,
159.864,,20.175
159.984,19.882,
160.003,,20.13
160.137,19.876,
160.142,,20.151
160.29,19.888,
161.889,19.883,
162.042,19.883,
162.087,,20.136
162.195,19.882,
162.226,,19.99
162.348,19.882,
162.365,,20.086
162.501,19.878,
162.504,,20.133
162.643,,20.177
162.654,19.884,
162.782,,20.229
162.807,19.887,
162.921,,20.29
162.96,19.881,
163.06,,20.241
163.113,19.879,
163.199,,20.156
163.266,19.885,
163.338,,20.134
163.419,19.883,
163.477,,20.163
163.572,19.879,
163.616,,20.182
163.725,19.876,
163.755,,20.109
163.878,19.884,
163.894,,20.154
164.031,19.885,
164.033,,20.26
164.172,,20.239
164.184,19.877,
164.311,,20.052
164.337,19.885,
164.45,,20.162
164.49,19.881,
164.589,,20.156
164.643,19.881,
164.728,,20.126
164.796,19.882,
164.867,,20.228
164.949,19.882,
165.006,,20.223
165.102,19.884,
165.145,,20.262
165.255,19.884,
165.284,,20.176
165.408,19.884,
165.423,,20.063
165.561,19.888,
165.562,,20.021
165.714,19.885,
167.127,19.886,
167.28,19.883,
167.321,,20.217
167.433,19.883,
167.46,,20.284
167.586,19.884,
167.599,,20.304
167.738,,20.237
167.739,19.884,
167.877,,20.277
167.892,19.881,
168.016,,20.224
168.045,19.879,
168.155,,20.104
168.198,19.885,
168.294,,20.006
168.351,19.88,
168.433,,20.227
168.504,19.888,
168.572,,20.325
168.657,19.881,
168.711,,20.444
168.81,19.885,
168.85,,20.298
168.963,19.887,
168.989,,20.245
169.116,19.889,
169.128,,20.31
169.267,,20.137
169.269,19.884,
169.406,,20.185
169.422,19.881,
169.545,,20.223
169.575,19.884,
169.684,,20.163
169.728,19.888,
169.823,,20.187
169.881,19.883,
169.962,,20.224
170.034,19.878,
170.101,,20.227
170.187,19.879,
170.24,,20.331
170.34,19.887,
170.379,,20.225
170.493,19.886,
170.518,,20.182
170.646,19.89,
170.657,,20.161
170.796,,20.168
170.799,19.895,
170.952,19.891,
172.505,19.883,
172.658,19.892,
172.695,,20.149
172.811,19.891,
172.834,,20.008
172.964,19.89,
172.973,,20.138
173.112,,20.198
173.117,19.888,
173.251,,20.165
173.27,19.891,
173.39,,20.209
173.423,19.891,
173.529,,20.179
173.576,19.893,
173.668,,20.179
173.729,19.895,
173.807,,20.184
173.882,19.889,
173.946,,20.165
174.035,19.891,
174.085,,20.248
174.188,19.894,
174.224,,20.352
174.341,19.892,
174.363,,20.331
174.494,19.889,
174.502,,20.294
174.641,,20.207
174.647,19.889,
174.78,,20.276
174.8,19.895,
174.919,,20.143
174.953,19.882,
175.058,,20.268
175.106,19.89,
175.197,,20.183
175.259,19.895,
175.336,,20.258
175.412,19.9,
175.475,,20.326
175.565,19.892,
175.614,,20.308
175.718,19.896,
175.753,,20.344
175.871,19.895,
175.892,,20.241
176.024,19.888,
176.031,,20.223
176.17,,20.27
176.177,19.89,
176.309,,20.279
176.33,19.887,
176.483,19.89,
177.887,19.9,
178.04,19.896,
178.059,,20.468
178.193,19.895,
178.198,,20.389
178.337,,20.427
178.346,19.896,
178.476,,20.289
178.499,19.895,
178.615,,20.332
178.652,19.892,
178.754,,20.509
178.805,19.903,
178.893,,20.358
178.958,19.886,
179.032,,20.377
179.111,19.888,
179.171,,20.537
179.264,19.896,
179.31,,20.455
179.417,19.905,
179.449,,20.407
179.57,19.899,
179.588,,20.364
179.723,19.897,
179.727,,20.41
179.866,,20.338
179.876,19.899,
180.005,,20.351
180.029,19.896,
180.144,,20.382
180.182,19.901,
180.283,,20.398
180.335,19.898,
180.422,,20.379
180.488,19.895,
180.561,,20.398
180.641,19.896,
180.7,,20.568
180.794,19.902,
180.839,,20.377
180.947,19.897,
180.978,,20.337
181.1,19.898,
181.117,,20.324
181.253,19.899,
181.256,,20.321
181.395,,20.371
181.406,19.896,
181.534,,20.42
181.559,19.9,
181.712,19.901,
