gds,gm,id,vdsat,vth,v(g)
1.246028e-06,0.0001557473,2.856594e-05,0.2788936,0.4680757,0.8
1.299341e-06,0.0001598083,3.021945e-05,0.2856909,0.4675057,0.81
1.353407e-06,0.0001638101,3.191096e-05,0.2924262,0.4669661,0.82
1.408221e-06,0.0001677547,3.363966e-05,0.2991002,0.4664568,0.83
1.463779e-06,0.0001716438,3.54048e-05,0.3057135,0.4659777,0.84
1.520078e-06,0.0001754792,3.720566e-05,0.3122672,0.4655287,0.85
1.577118e-06,0.0001792623,3.904159e-05,0.3187624,0.4651091,0.86
1.634898e-06,0.0001829944,4.091196e-05,0.3252002,0.4647184,0.87
1.693418e-06,0.0001866768,4.281621e-05,0.331582,0.4643559,0.88
1.752682e-06,0.0001903105,4.47538e-05,0.3379092,0.4640206,0.89
1.81269e-06,0.0001938966,4.672423e-05,0.3441831,0.4637117,0.9
1.873448e-06,0.0001974358,4.872705e-05,0.3504052,0.463428,0.91
1.934958e-06,0.0002009288,5.076182e-05,0.356577,0.4631685,0.92
1.997224e-06,0.0002043764,5.282813e-05,0.3626999,0.4629321,0.93
2.060252e-06,0.0002077791,5.49256e-05,0.3687752,0.4627175,0.94
2.124047e-06,0.0002111372,5.705385e-05,0.3748044,0.4625236,0.95
2.188613e-06,0.0002144514,5.921255e-05,0.380789,0.4623493,0.96
2.253956e-06,0.0002177218,6.140135e-05,0.38673,0.4621933,0.97
2.320082e-06,0.0002209488,6.361991e-05,0.392629,0.4620545,0.98
2.386996e-06,0.0002241326,6.586793e-05,0.3984871,0.4619317,0.99
2.454704e-06,0.0002272734,6.814508e-05,0.4043055,0.4618241,1
2.523212e-06,0.0002303714,7.045105e-05,0.4100853,0.4617303,1.01
2.592525e-06,0.0002334267,7.278552e-05,0.4158278,0.4616496,1.02
2.662648e-06,0.0002364395,7.514819e-05,0.4215338,0.461581,1.03
2.733586e-06,0.0002394098,7.753874e-05,0.4272046,0.4615235,1.04
2.805347e-06,0.0002423377,7.995685e-05,0.432841,0.4614764,1.05
2.877933e-06,0.0002452232,8.240221e-05,0.438444,0.4614389,1.06
2.951347e-06,0.0002480663,8.487438e-05,0.4440143,0.4614107,1.07
3.025594e-06,0.0002508671,8.737303e-05,0.4495529,0.4613912,1.08
3.10068e-06,0.0002536256,8.989786e-05,0.4550605,0.4613797,1.09
3.176609e-06,0.0002563418,9.244852e-05,0.460538,0.4613755,1.1
3.253385e-06,0.0002590158,9.502469e-05,0.4659862,0.461378,1.11
3.331014e-06,0.0002616477,9.762604e-05,0.471406,0.4613867,1.12
3.409499e-06,0.0002642376,0.0001002522,0.4767979,0.4614011,1.13
3.488846e-06,0.0002667856,0.0001029029,0.4821629,0.4614206,1.14
3.569059e-06,0.0002692916,0.0001055777,0.4875015,0.4614449,1.15
3.650143e-06,0.0002717559,0.0001082764,0.4928145,0.4614735,1.16
3.7321e-06,0.0002741784,0.0001109985,0.4981026,0.4615061,1.17
3.814937e-06,0.0002765594,0.0001137436,0.5033664,0.4615422,1.18
3.898656e-06,0.0002788989,0.0001165116,0.5086065,0.4615817,1.19
3.983263e-06,0.0002811972,0.0001193019,0.5138235,0.4616241,1.2
4.068762e-06,0.0002834542,0.0001221142,0.5190181,0.4616692,1.21
4.155156e-06,0.0002856702,0.0001249482,0.5241909,0.4617167,1.22
