paper	lecture	line	section	text	url	existing_key
https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2824253	l06_adc.md	1213	Control-Bounded ADCs	Design Considerations for a Low-Power Control-Bounded A/D Converter	https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2824253	
ieee:4381437	l04_afe.md	807	Want to learn more?	A 56 mW Continuous-Time Quadrature Cascaded Sigma-Delta Modulator With 77 dB DR in a Near Zero-IF 20 MHz Band	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4381437	
ieee:1257061	l04_afe.md	809	Want to learn more?	Complex signal processing is not - complex	https://ieeexplore.ieee.org/document/1257061	
ieee:8666017	l04_dac.md	331	References	A 28-nm 75-fsrms Analog Fractional-N Sampling PLL With a Highly Linear DTC Incorporating Background DTC Gain Calibration and Reference Clock Duty Cycle Correction	https://ieeexplore.ieee.org/document/8666017	
ieee:5453302	l04_dac.md	333	References	A 10-bit Charge-Redistribution ADC Consuming 1.9 uW at 1 MS/s	https://ieeexplore.ieee.org/document/5453302	
ieee:6587137	l04_dac.md	335	References	A 6.3 uW 20 bit Incremental Zoom-ADC with 6 ppm INL and 1 uV Offset	https://ieeexplore.ieee.org/document/6587137	
ieee:6021346	l04_dac.md	337	References	A 12-Bit 1.25-GS/s DAC in 90 nm CMOS With >70 dB SFDR up to 500 MHz	https://ieeexplore.ieee.org/document/6021346	
ieee:6919341	l04_mac.md	13		A 1 TOPS/W Analog Deep Machine-Learning Engine With Floating-Gate Storage in 0.13 µm CMOS	https://ieeexplore.ieee.org/document/6919341	
https://arxiv.org/abs/1706.03762	l04_mac.md	37	Analog Neural Networks	Attention Is All You Need	https://arxiv.org/abs/1706.03762	
ieee:8480105	l04_mac.md	285	Want to learn more?	An Always-On 3.8 u J/86 % CIFAR-10 Mixed-Signal Binary CNN Processor With All Memory on Chip in 28-nm CMOS	https://ieeexplore.ieee.org/document/8480105	
ieee:9441013	l04_mac.md	287	Want to learn more?	CAP-RAM: A Charge-Domain In-Memory Computing 6T-SRAM for Accurate and Precision-Programmable CNN Inference	https://ieeexplore.ieee.org/document/9441013	
