lecture	line	text	url	reason
l04_afe.md	536	Design Considerations for a Low-Power Control-Bounded A/D Converter	https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2824253	best Crossref match scored 0.55
l08_pll.md	646	Ultra Low Power Frequency Synthesizer	https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2778127	best Crossref match scored 0.84
